FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
300,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.0396,1985534670.71793,381026.18387915
301,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.809,1251241583.00777,271396.680664788
302,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.3852,3012114892.36445,426437.771573504
303,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.4975,510438048.321678,167278.148593367
304,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.8646,1061355460.93539,234604.730290033
305,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.5527,1957293776.36245,318306.174447411
306,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.1495,1682340596.71436,379481.085042417
307,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.5641,566472991.397125,203348.873507994
308,S12000005,Clackmannanshire, ,291178,696402,-3.75316,56.1478,163911874.571091,83958.847441756
309,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.0962,6673320456.85187,829639.57699108
310,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.4967,1270345620.12602,341229.637684912
311,S12000010,East Lothian, ,354854,672351,-2.72435,55.9421,699499685.023987,195798.166847651
312,S12000011,East Renfrewshire, ,251930,653115,-4.36058,55.7487,174247283.888596,94003.9546714667
313,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.1994,3273097599.47963,3681858.72789691
314,S12000014,Falkirk, ,285585,680170,-3.83619,56.0008,314805697.635605,125440.958474863
315,S12000017,Highland, ,241018,858292,-4.66103,57.5866,26473350652.7812,4878863.47012112
316,S12000018,Inverclyde, ,227922,670894,-4.75387,55.9003,173614949.984955,75139.2266523263
317,S12000019,Midlothian, ,330088,659217,-3.11738,55.8211,355272032.874893,126469.546923933
318,S12000020,Moray, ,328015,843590,-3.20202,57.4768,2257047172.71155,402544.843423213
319,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.7279,903943128.266937,362781.133909945
320,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.9433,1086562282.8678,1590581.86846323
321,S12000026,Scottish Borders, ,345889,626137,-2.85869,55.526,4742688579.53046,527063.896375708
322,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.505,1657494197.29892,2183874.24081164
323,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.2301,1234680411.53091,333465.223133765
324,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.6045,1774015996.18909,284725.843598639
325,S12000030,Stirling, ,255980,708769,-4.32595,56.2495,2254816014.08531,332063.298791352
